.trt,parameter,p_rank[1],p_rank[2],p_rank[3],p_rank[4],p_rank[5],p_rank[6],p_rank[7],p_rank[8],p_rank[9],p_rank[10],p_rank[11],p_rank[12],p_rank[13],p_rank[14],p_rank[15],p_rank[16],p_rank[17],p_rank[18],p_rank[19],p_rank[20],p_rank[21],p_rank[22],p_rank[23],p_rank[24],p_rank[25],p_rank[26],p_rank[27],p_rank[28],p_rank[29],p_rank[30],p_rank[31],p_rank[32],p_rank[33],p_rank[34],p_rank[35],p_rank[36],p_rank[37],p_rank[38],p_rank[39],p_rank[40],p_rank[41],p_rank[42],p_rank[43],p_rank[44],p_rank[45],p_rank[46],p_rank[47]
MLP,d[MLP],0,5e-04,0,0.00025,5e-04,0.001,0.00075,0.002,0.00225,0.0025,0.005,0.00575,0.0055,0.009,0.00425,0.00825,0.00625,0.01,0.012,0.0135,0.01125,0.0105,0.0115,0.012,0.01475,0.016,0.015,0.0195,0.02025,0.0205,0.02225,0.03025,0.02775,0.02875,0.0305,0.0345,0.02825,0.043,0.03825,0.0385,0.0545,0.062,0.0905,0.10725,0.083,0.04025,0
NBeatsX,d[NBeatsX],0,0,0,0.00025,0,0.00025,0.00025,0.00125,0.001,0.00175,0.00275,0.00575,0.00375,0.00825,0.00675,0.00925,0.015,0.01,0.018,0.01475,0.021,0.017,0.0195,0.01625,0.01825,0.0205,0.02775,0.02825,0.03275,0.03875,0.03675,0.03975,0.03925,0.0385,0.04225,0.045,0.04425,0.04475,0.04725,0.05,0.05,0.05875,0.05375,0.04325,0.0235,0.004,0
NBM (negative binomial regression model),d[NBM (negative binomial regression model)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00025,0,5e-04,0,0.00025,0,5e-04,0.00075,0.00075,0.002,0.001,0.00225,0.00325,0.00275,0.006,0.00375,0.00525,0.00875,0.0085,0.01125,0.01525,0.014,0.019,0.02775,0.05325,0.08125,0.1395,0.2155,0.2585,0.118,0
RF,d[RF],0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00075,5e-04,0.00325,0.012,0.02325,0.04825,0.07675,0.1105,0.14,0.161,0.1435,0.12025,0.081,0.0435,0.02175,0.0095,0.00325,5e-04,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNN,d[RNN],0,0,0,0,5e-04,0.00025,0.00125,0.003,0.0035,0.0055,0.008,0.0105,0.01425,0.021,0.025,0.03375,0.03675,0.039,0.04375,0.0425,0.053,0.03875,0.04425,0.0355,0.0435,0.044,0.052,0.05525,0.05175,0.04175,0.042,0.04025,0.03225,0.02675,0.0255,0.02425,0.0135,0.01275,0.00975,0.00825,0.00675,0.0055,0.0025,0.00175,0,0,0
SARIMA,d[SARIMA],0,0,0,0,0,0,0,0,0,0,0,0,0.00025,5e-04,0,0.00025,5e-04,0.00125,0.00075,0.00375,0.0055,0.00875,0.0125,0.0195,0.0265,0.0355,0.0505,0.08,0.0935,0.1,0.1175,0.1025,0.0885,0.0875,0.062,0.04175,0.02825,0.01675,0.0095,0.00325,0.002,0.001,0,0,0,0,0
SARIMAX,d[SARIMAX],0,0,0,0,0,0,5e-04,0.00075,0.00075,0.0015,0.001,0.002,0.0035,0.00375,0.00475,0.005,0.00875,0.011,0.01225,0.01225,0.011,0.0145,0.01075,0.0145,0.0185,0.024,0.01875,0.029,0.031,0.035,0.037,0.0425,0.0415,0.0395,0.046,0.04725,0.0525,0.05275,0.0485,0.056,0.0625,0.0615,0.065,0.048,0.02125,0.0035,0
SETAR,d[SETAR],0,0.0025,0.0065,0.012,0.017,0.02075,0.025,0.03675,0.03775,0.0365,0.0435,0.051,0.04575,0.043,0.04875,0.04275,0.0565,0.047,0.04725,0.04025,0.04025,0.03075,0.02675,0.02225,0.023,0.02375,0.02025,0.02225,0.024,0.02175,0.01275,0.0165,0.01,0.0155,0.00625,0.00575,0.0045,0.00275,0.00375,0.00225,0.00275,0.00075,0.00075,0.00025,0,0,0
STL,d[STL],0.06625,0.09575,0.078,0.05425,0.04325,0.04175,0.031,0.03175,0.02375,0.02225,0.01925,0.02575,0.021,0.02025,0.02075,0.0205,0.02175,0.0155,0.01675,0.014,0.0125,0.0115,0.01325,0.013,0.01025,0.00875,0.0115,0.0135,0.01125,0.01275,0.01225,0.01275,0.01,0.01125,0.00925,0.009,0.0095,0.01075,0.01375,0.01425,0.011,0.016,0.01825,0.01925,0.015,0.006,0
SVM,d[SVM],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275,0.0035,0.01625,0.04475,0.08075,0.143,0.1865,0.192,0.163,0.1105,0.045,0.01025,0.0015,0.00025,0
TBATS,d[TBATS],0,0.00075,0.00325,0.00475,0.00775,0.013,0.01775,0.0205,0.02675,0.03125,0.0365,0.042,0.03525,0.0395,0.04425,0.047,0.04425,0.0505,0.0415,0.049,0.03625,0.04,0.03575,0.02875,0.02825,0.0275,0.031,0.02625,0.0285,0.02275,0.0265,0.01725,0.01875,0.0145,0.0115,0.0115,0.0055,0.0075,0.00625,0.00675,0.005,0.004,0.002,0.002,0.00025,0.00025,0
TCNX,d[TCNX],0,0,0,0,0,0,5e-04,0,0,0.00025,0,5e-04,0.001,0,0.00075,5e-04,0.00175,0.00025,0.002,0.002,0.00225,0.00275,0.00425,0.0035,0.004,0.004,0.00725,0.0065,0.0095,0.00875,0.01525,0.0155,0.0195,0.02025,0.0205,0.02275,0.02775,0.03025,0.034,0.0435,0.06475,0.103,0.14275,0.1595,0.15675,0.06175,0
Theta,d[Theta],0,0.014,0.031,0.05125,0.055,0.06225,0.06825,0.0685,0.07425,0.074,0.059,0.053,0.055,0.0485,0.03825,0.0425,0.02725,0.0315,0.023,0.023,0.0165,0.0135,0.012,0.0065,0.00825,0.0075,0.00525,0.0065,0.00525,0.0045,0.0045,0.00275,0.002,0.0025,0.00075,0.00025,0.00075,5e-04,0.00025,5e-04,0,0,0,0,0,0,0
Transformer,d[Transformer],0,0,0,0,0.00025,0,0.00075,0.00025,0.002,0.00275,0.004,0.00925,0.01325,0.0195,0.02575,0.03525,0.04425,0.0635,0.06075,0.07075,0.06875,0.0615,0.0625,0.065,0.0605,0.06,0.05275,0.05275,0.041,0.04,0.02625,0.02325,0.01275,0.00625,0.0075,0.004,0.00125,0.00075,0.001,0,0,0,0,0,0,0,0
TransformersX,d[TransformersX],0,0,0.00025,0.00025,0.001,0.0015,0.003,0.0015,0.004,0.007,0.00825,0.00825,0.00925,0.0125,0.01625,0.01475,0.0195,0.0255,0.02225,0.02425,0.0285,0.0295,0.0265,0.0225,0.0205,0.0235,0.029,0.038,0.036,0.0405,0.039,0.0385,0.037,0.03775,0.043,0.03825,0.03025,0.03575,0.03825,0.03875,0.03675,0.03875,0.03325,0.02475,0.01375,0.0025,0
VAR,d[VAR],0.70125,0.261,0.03425,0.00325,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XGBoost,d[XGBoost],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00075,0.001,0.0015,0.001,0.00275,0.00325,0.004,0.00575,0.0095,0.0135,0.019,0.03,0.03825,0.0585,0.063,0.0735,0.082,0.089,0.0935,0.0795,0.08575,0.0625,0.0535,0.05,0.03875,0.0245,0.0105,0.004,0.001,0,0
