.trt,parameter,p_rank[1],p_rank[2],p_rank[3],p_rank[4],p_rank[5],p_rank[6],p_rank[7],p_rank[8],p_rank[9],p_rank[10],p_rank[11],p_rank[12],p_rank[13],p_rank[14],p_rank[15],p_rank[16],p_rank[17],p_rank[18],p_rank[19],p_rank[20],p_rank[21],p_rank[22],p_rank[23],p_rank[24],p_rank[25],p_rank[26],p_rank[27],p_rank[28],p_rank[29],p_rank[30],p_rank[31],p_rank[32],p_rank[33],p_rank[34],p_rank[35],p_rank[36],p_rank[37],p_rank[38],p_rank[39],p_rank[40],p_rank[41],p_rank[42],p_rank[43],p_rank[44],p_rank[45],p_rank[46],p_rank[47]
ENN,d[ENN],0,0,0,0.000125,0.000125,0.00025,0.00025,5e-04,0.001,0.00175,0.0025,0.004,0.00625,0.009375,0.013375,0.019125,0.029375,0.037125,0.050875,0.06675,0.08775,0.114375,0.143,0.174,0.21025,0.24975,0.2915,0.331125,0.370375,0.41225,0.453875,0.4955,0.544875,0.592,0.64525,0.70175,0.756,0.809,0.861125,0.90425,0.944,0.9725,0.990125,0.997875,0.9995,1,1
Ensemble,d[Ensemble],0.0025,0.009625,0.026125,0.055375,0.098625,0.156375,0.229125,0.30625,0.38225,0.4585,0.52475,0.58925,0.645375,0.698,0.749625,0.795875,0.835,0.873,0.896125,0.919125,0.9395,0.951375,0.963125,0.973,0.982125,0.987,0.990375,0.9925,0.99425,0.996125,0.996375,0.997125,0.99825,0.99875,0.99925,0.9995,0.999625,0.99975,0.999875,1,1,1,1,1,1,1,1
EWNet,d[EWNet],0.020875,0.055125,0.0955,0.141,0.188875,0.23775,0.278625,0.32575,0.365375,0.403625,0.439125,0.473125,0.504375,0.532125,0.5585,0.584125,0.611,0.638375,0.665125,0.692125,0.720125,0.745125,0.7685,0.79125,0.81125,0.826875,0.84375,0.856625,0.868625,0.879375,0.889125,0.899875000000001,0.911,0.92075,0.92925,0.938875000000001,0.952125,0.9605,0.97,0.9795,0.98675,0.99325,0.996375,0.998375,0.99975,1,1
Exponential Smoothing,d[Exponential Smoothing],0.0035,0.016375,0.043625,0.0775,0.117125,0.164,0.2155,0.27675,0.328375,0.38175,0.429125,0.478625,0.520625,0.567875,0.60775,0.64825,0.6855,0.720375,0.75675,0.78625,0.8145,0.839875,0.865625,0.8825,0.9,0.915,0.928125,0.937875,0.946625,0.954375,0.960125,0.9665,0.973,0.9775,0.982875,0.987875,0.99125,0.993,0.9955,0.997625,0.999125,0.999375,0.99975,0.999875,1,1,1
Facebook Prophet,d[Facebook Prophet],0.007875,0.02425,0.05125,0.077375,0.108875,0.140875,0.1815,0.221625,0.260875,0.299,0.337625,0.377,0.4125,0.445875,0.4765,0.512375,0.546375,0.5815,0.612875,0.645375,0.676,0.70775,0.74125,0.76875,0.79225,0.81125,0.831,0.849875,0.866625,0.881375,0.89425,0.907625,0.918125,0.92875,0.94075,0.951375,0.961,0.969875,0.978,0.9845,0.990625,0.99475,0.99775,0.99925,0.99975,1,1
GAMM,d[GAMM],0.052,0.083375,0.101,0.1135,0.121625,0.13075,0.138125,0.146,0.152875,0.15975,0.165375,0.17075,0.176875,0.180125,0.183875,0.188125,0.193125,0.197625,0.202375,0.20825,0.213625,0.217375,0.224375,0.2295,0.233875,0.24175,0.246125,0.252,0.257,0.260375,0.2655,0.270875,0.278,0.283375,0.2895,0.29825,0.30775,0.318375,0.328875,0.34275,0.361125,0.38425,0.416125,0.47325,0.591125,0.893625,1
Gaussian Process (GP),d[Gaussian Process (GP)],0.085,0.1665,0.22025,0.267,0.309,0.33975,0.366875,0.391125,0.418125,0.44225,0.4635,0.481125,0.499875,0.517,0.53225,0.546875,0.56275,0.579625,0.595375,0.609375,0.628375,0.645125,0.6645,0.67825,0.690875,0.704875,0.716375,0.7285,0.739,0.75,0.7585,0.767375,0.778625,0.7885,0.7995,0.813625,0.828,0.84425,0.859625,0.877875,0.90025,0.923125,0.947125,0.972875,0.991625,1,1
GBM,d[GBM],0,0,0,0,0,0,0,0,0.000125,0.000125,0.000125,0.000375,5e-04,0.001125,0.0015,0.0025,0.003375,0.005125,0.0075,0.010375,0.014625,0.019875,0.02775,0.041625,0.05325,0.066125,0.081,0.09975,0.11825,0.14525,0.17075,0.202125,0.238625,0.280125,0.335,0.39625,0.465375,0.548,0.640125,0.736875,0.82675,0.904875,0.96,0.988,0.99825,1,1
GLM,d[GLM],0.022375,0.083875,0.151375,0.212375,0.2695,0.32425,0.376625,0.419125,0.464125,0.5005,0.534875,0.5625,0.5945,0.620875,0.64625,0.670875,0.69675,0.72325,0.746375,0.769875,0.789875,0.8075,0.827375,0.843375,0.86,0.87275,0.88675,0.896625,0.908,0.916875,0.926,0.9345,0.94075,0.95,0.956625,0.96225,0.969625,0.97675,0.98125,0.9865,0.991125,0.9945,0.997375,0.999625,0.99975,1,1
GMM,d[GMM],0,0,0,0,0,0.00025,0.000375,5e-04,0.001375,0.002375,0.00375,0.005875,0.009125,0.01375,0.01775,0.02525,0.03625,0.04725,0.060875,0.0785,0.10275,0.129375,0.1615,0.195125,0.231875,0.27,0.315,0.356625,0.401875,0.45325,0.498625,0.54425,0.595375,0.649375,0.699125,0.752125,0.806375,0.85625,0.900125,0.939375,0.969625,0.986875,0.99525,0.999,1,1,1
